patent|abs|title1
09532690|A robot cleaner capable of vacuuming foreign materials on a floor includes a main body to which a dust collector is mounted and a vacuuming unit provided at a front portion of the main body to clean a floor. The vacuuming unit is configured to move relative to the main body. If it is determined that the robot cleaner is located near a wall or an obstacle, the vacuuming unit moves to the wall or the obstacle. Since the vacuuming unit contacts the wall or the obstacle, a region of a floor near the wall or the obstacle may be cleaned. Further, a manual cleaner may be selectively connected to a channel connector of the robot cleaner so that a user may choose automatic or manual cleaning of a floor at the user's convenience.|Robot cleaner and control method thereof
09532840|One exemplary user interface for a medical robotics system may include a control panel and one or more sliders that may be slidably carried by the control panel to actuate one or more motors for moving a surgical instrument of the medical robotics system. The sliders may be configured to actuate the motors to move the surgical instrument along a respective one of a plurality of degrees of freedom.|Slider control of catheters and wires
09532841|Robotic, telerobotic, and/or telesurgical devices, systems, and methods take advantage of robotic structures and data to calculate changes in the focus of an image capture device in response to movement of the image capture device, a robotic end effector, or the like. As the size of an image of an object shown in the display device varies with changes in a separation distance between that object and the image capture device used to capture the image, a scale factor between a movement command input may be changed in response to moving an input device or a corresponding master/slave robotic movement command of the system. This may enhance the perceived correlation between the input commands and the robotic movements as they appear in the image presented to the system operator.|Autofocus and/or autoscaling in telesurgery
09533411|A method for controlling a tele-operated robot agile lift system is disclosed. The method comprises manipulating a human-machine interface of a master robot located on a mobile platform. The human machine interface is kinematically equivalent to a user's arm with a plurality of support members. A position value and a torque value is measured for each support member. The position value and torque value are communicated to support members of a kinematically equivalent slave arm to position the support members to correspond with a position of the human-machine interface.|System and method for controlling a teleoperated robotic agile lift system
09533420|A distal end side link hub is connected to a proximal end side link hub via three or more link mechanisms such that alteration in posture of the distal end side link hub is allowed. Each of the link mechanisms includes a proximal side end link member, a distal side end link member, and an intermediate link member. A line member is disposed between the link hubs, two ends of the line member being held at line member holding points which are on link hub central axes, respectively. In a state where the link hubs are parallel to each other, when the distance from a midpoint to each spherical link center is defined as (D) and the distance from each spherical link center to its corresponding line member holding point is defined as (H), the relationship H=0.5×D is established.|Link actuation device
09533660|An apparatus facilitating packing of a racecar parachute using a pilot chute launcher, the apparatus comprised of a slotted metal plate, a pair of notched tabs, and a pair of extensions selected to removably couple with the notched tabs and the plate. In use, the notched tabs, notched sides facing away from one another, are positioned and affixed to opposing sides of a parachute bag bottom plate. The parachute and pilot chute launcher are packed into the parachute bag. The extensions are inserted into opposing slots on the plate, and by engaging the extensions with the notched tabs, the pilot chute launcher is compressed. A top and a bottom flap of the parachute bag is secured over the plate in a usual fashion. The extensions and the plate are sequentially removed, and the parachute is continued to be packed in the usual fashion.|Retainer apparatus for use with a pilot chute launcher and method for packing a parachute using a pilot chute launcher and retainer apparatus
09533750|A flight control surface such as a slat capable of keeping and achieving a minimum basic functions even when it is damaged by collisions of birds or the like, and a wing using the same are provided. Both ends of one wire cable 15 or more are fixed to paired ribs 10A and 10B provided in a short direction of the slat. This wire cable 15 is placed so as to pass through a through-hole 13 formed in each of the ribs 10 positioned between the paired ribs 10A and 10B. Even if birds or the like collide with slat 3 at the time of a flight of the aircraft to damage and deform not only a skin 4 of the slat 3 but also any rib 10, the wire cable 15 between the paired ribs 10A and 10B prevents the slat 3 from being broken into pieces.|Slat, wing of aircraft, flight control surface of aircraft, and aircraft
09533761|An aircraft may include a cabin having a first portion, a second portion, a first ramp and a second ramp. The first portion of the cabin may include an upper deck and a lower deck. The upper deck and the lower deck may be disposed proximate to each other with vertical separation therebetween. The second portion may include an intermediate deck disposed in a plane that is substantially parallel to planes in which the upper deck and the lower deck lie. The intermediate deck may be vertically separated from both the upper deck and the lower deck. The first ramp may extend between the lower deck and the intermediate deck to provide access therebetween. The second ramp may extend between the upper deck and the intermediate deck to provide access therebetween.|Aircraft configuration with ramp access to multiple decks
09533770|An aircraft assembly comprising a plurality of structural components and an electrically conductive bonding network, wherein at least one of the structural components is formed of material of low electrical conductivity, and the bonding network includes either: at least one substantially planar strip of highly electrically conductive material attached to at least the one structural component, and wherein the strip includes a substantially omega-shaped loop extending out of the plane of the strip; or at least one strip of highly electrically conductive material attached to at least the one structural component, wherein the strip comprises first and second planar attachment portions for attaching the strip to the structural component(s) and an intermediate portion extending between the first and second attachment portions, and wherein the intermediate portion includes a loop which extends outwards from the plane of the first attachment portion.|Aircraft bonding network
09533771|Preventing damage to a metal component or reducing manufacturing assembly steps. An initial channel, defined by an inner surface, is formed through the metal component. A bushing is placed into the initial channel, the bushing having an outer surface and an inner channel. An interference fit is created between the outer surface and the inner surface. A final channel is formed through the bushing. In forming the final channel, material is removed from the bushing to increase a size of the inner channel to be suitable to receive a fastener and such that the inner surface of the metal component remains unexposed within the final channel. The final channel extends through a second component. A fastener is placed into the final channel to attach the metal component to a second component, wherein electrical magnetic effects occur between the fastener and the bushing.|Apparatus for preventing lightning strike damage to a structural component
09533841|An automatic truck unloader for unloading/unpacking product, such as boxes or cases, from trailers and containers is disclosed. In one embodiment, a mobile base structure provides a support framework for a drive subassembly, conveyance subassembly, an industrial robot, a distance measurement subassembly, and a control subassembly. Under the operation of the control subassembly, an industrial robot having a suction cup-based gripper arm selectively removes boxes from the trailer and places the boxes on a powered transportation path. The control subassembly coordinates the selective articulated movement of the industrial robot and the activation of the drive subassembly based upon the distance measurement subassembly detecting objects, including boxes, within a detection space, and dimensions of the trailer provided to the control subassembly.|Automated truck unloader for unloading/unpacking product from trailers and containers
09534540|An automatic emergency radar and proximity sensor activated protection system that could assist to prevent commercial, private, or military aircraft jet engines from being damaged or destroyed by the installment of a Shielding Blade Assembly which will immediately close when detection of objects such as; birds, debris, or other destructive elements try to enter through the engine intake while the aircraft is in FLIGHT causing the Internal Air Injection Unit (A.I.U.) to supply high volumes of air in order for the engine to stay operational and prevent it from stalling while in FLIGHT.|Thrust enabling objective system
